ap_id,floor,region,coverage_cells,centroid_x,centroid_y,bbox_x_min,bbox_x_max,bbox_y_min,bbox_y_max,spatial_information
170,0,Floor_0_Zone_170,132,39.04,258.02,35,47,248,266,"Centroid: (39.04, 258.02), Box: X[35-47] Y[248-266], Area: 132 cells"
171,0,Floor_0_Zone_171,399,45.05,272.43,35,54,261,282,"Centroid: (45.05, 272.43), Box: X[35-54] Y[261-282], Area: 399 cells"
172,1,Floor_1_Zone_172,270,42.63,250.96,35,54,244,264,"Centroid: (42.63, 250.96), Box: X[35-54] Y[244-264], Area: 270 cells"
173,1,Floor_1_Zone_173,254,47.6,262.83,35,54,250,273,"Centroid: (47.60, 262.83), Box: X[35-54] Y[250-273], Area: 254 cells"
174,1,Floor_1_Zone_174,256,43.4,275.86,35,54,266,282,"Centroid: (43.40, 275.86), Box: X[35-54] Y[266-282], Area: 256 cells"
175,2,Floor_2_Zone_175,183,40.33,250.48,35,51,244,263,"Centroid: (40.33, 250.48), Box: X[35-51] Y[244-263], Area: 183 cells"
176,2,Floor_2_Zone_176,257,47.47,257.36,35,54,244,265,"Centroid: (47.47, 257.36), Box: X[35-54] Y[244-265], Area: 257 cells"
177,2,Floor_2_Zone_177,340,44.5,274.0,35,54,266,282,"Centroid: (44.50, 274.00), Box: X[35-54] Y[266-282], Area: 340 cells"
178,0,Floor_0_Zone_178,326,42.12,297.06,35,54,288,312,"Centroid: (42.12, 297.06), Box: X[35-54] Y[288-312], Area: 326 cells"
179,0,Floor_0_Zone_179,147,49.83,304.38,42,54,292,312,"Centroid: (49.83, 304.38), Box: X[42-54] Y[292-312], Area: 147 cells"
180,0,Floor_0_Zone_180,307,44.47,318.8,35,54,310,326,"Centroid: (44.47, 318.80), Box: X[35-54] Y[310-326], Area: 307 cells"
181,1,Floor_1_Zone_181,119,38.58,294.02,35,46,288,304,"Centroid: (38.58, 294.02), Box: X[35-46] Y[288-304], Area: 119 cells"
182,1,Floor_1_Zone_182,248,47.84,298.0,37,54,288,307,"Centroid: (47.84, 298.00), Box: X[37-54] Y[288-307], Area: 248 cells"
183,1,Floor_1_Zone_183,413,44.2,316.15,35,54,305,326,"Centroid: (44.20, 316.15), Box: X[35-54] Y[305-326], Area: 413 cells"
184,2,Floor_2_Zone_184,380,44.5,297.0,35,54,288,306,"Centroid: (44.50, 297.00), Box: X[35-54] Y[288-306], Area: 380 cells"
185,2,Floor_2_Zone_185,400,44.5,316.5,35,54,307,326,"Centroid: (44.50, 316.50), Box: X[35-54] Y[307-326], Area: 400 cells"
186,0,Floor_0_Zone_186,589,15.0,20.0,6,24,5,35,"Centroid: (15.00, 20.00), Box: X[6-24] Y[5-35], Area: 589 cells"
187,0,Floor_0_Zone_187,644,15.22,52.48,6,24,36,71,"Centroid: (15.22, 52.48), Box: X[6-24] Y[36-71], Area: 644 cells"
188,0,Floor_0_Zone_188,705,14.8,87.92,6,24,68,106,"Centroid: (14.80, 87.92), Box: X[6-24] Y[68-106], Area: 705 cells"
189,1,Floor_1_Zone_189,171,15.0,9.0,6,24,5,13,"Centroid: (15.00, 9.00), Box: X[6-24] Y[5-13], Area: 171 cells"
190,1,Floor_1_Zone_190,193,15.64,18.65,6,24,14,25,"Centroid: (15.64, 18.65), Box: X[6-24] Y[14-25], Area: 193 cells"
191,1,Floor_1_Zone_191,409,14.55,34.4,6,24,22,46,"Centroid: (14.55, 34.40), Box: X[6-24] Y[22-46], Area: 409 cells"
192,1,Floor_1_Zone_192,412,15.5,56.06,6,24,45,69,"Centroid: (15.50, 56.06), Box: X[6-24] Y[45-69], Area: 412 cells"
193,1,Floor_1_Zone_193,292,13.53,74.73,6,24,65,86,"Centroid: (13.53, 74.73), Box: X[6-24] Y[65-86], Area: 292 cells"
194,1,Floor_1_Zone_194,461,15.62,94.21,6,24,78,106,"Centroid: (15.62, 94.21), Box: X[6-24] Y[78-106], Area: 461 cells"
195,2,Floor_2_Zone_195,1129,14.94,34.22,6,24,5,65,"Centroid: (14.94, 34.22), Box: X[6-24] Y[5-65], Area: 1129 cells"
196,2,Floor_2_Zone_196,163,15.44,68.18,6,24,63,72,"Centroid: (15.44, 68.18), Box: X[6-24] Y[63-72], Area: 163 cells"
197,2,Floor_2_Zone_197,190,15.0,77.5,6,24,73,82,"Centroid: (15.00, 77.50), Box: X[6-24] Y[73-82], Area: 190 cells"
198,2,Floor_2_Zone_198,456,15.0,94.5,6,24,83,106,"Centroid: (15.00, 94.50), Box: X[6-24] Y[83-106], Area: 456 cells"
199,0,Floor_0_Zone_199,359,15.53,121.05,6,24,112,132,"Centroid: (15.53, 121.05), Box: X[6-24] Y[112-132], Area: 359 cells"
200,0,Floor_0_Zone_200,156,9.97,136.35,6,18,127,149,"Centroid: (9.97, 136.35), Box: X[6-18] Y[127-149], Area: 156 cells"
201,0,Floor_0_Zone_201,226,17.63,143.12,6,24,132,150,"Centroid: (17.63, 143.12), Box: X[6-24] Y[132-150], Area: 226 cells"
202,1,Floor_1_Zone_202,234,11.62,120.88,6,18,112,131,"Centroid: (11.62, 120.88), Box: X[6-18] Y[112-131], Area: 234 cells"
203,1,Floor_1_Zone_203,152,20.5,141.0,17,24,132,150,"Centroid: (20.50, 141.00), Box: X[17-24] Y[132-150], Area: 152 cells"
204,1,Floor_1_Zone_204,216,10.94,140.68,6,16,131,150,"Centroid: (10.94, 140.68), Box: X[6-16] Y[131-150], Area: 216 cells"
205,1,Floor_1_Zone_205,139,20.99,122.07,17,24,112,131,"Centroid: (20.99, 122.07), Box: X[17-24] Y[112-131], Area: 139 cells"
206,2,Floor_2_Zone_206,272,15.69,118.78,6,24,112,128,"Centroid: (15.69, 118.78), Box: X[6-24] Y[112-128], Area: 272 cells"
207,2,Floor_2_Zone_207,161,12.96,129.98,6,24,123,135,"Centroid: (12.96, 129.98), Box: X[6-24] Y[123-135], Area: 161 cells"
208,2,Floor_2_Zone_208,173,19.71,141.8,15,24,132,150,"Centroid: (19.71, 141.80), Box: X[15-24] Y[132-150], Area: 173 cells"
209,2,Floor_2_Zone_209,135,10.0,143.0,6,14,136,150,"Centroid: (10.00, 143.00), Box: X[6-14] Y[136-150], Area: 135 cells"
210,0,Floor_0_Zone_210,153,19.12,162.0,11,24,156,171,"Centroid: (19.12, 162.00), Box: X[11-24] Y[156-171], Area: 153 cells"
211,0,Floor_0_Zone_211,202,10.27,167.47,6,18,156,179,"Centroid: (10.27, 167.47), Box: X[6-18] Y[156-179], Area: 202 cells"
212,0,Floor_0_Zone_212,160,17.82,177.89,6,24,171,184,"Centroid: (17.82, 177.89), Box: X[6-24] Y[171-184], Area: 160 cells"
213,0,Floor_0_Zone_213,226,14.44,188.49,6,24,181,194,"Centroid: (14.44, 188.49), Box: X[6-24] Y[181-194], Area: 226 cells"
214,1,Floor_1_Zone_214,281,13.13,163.83,6,24,156,175,"Centroid: (13.13, 163.83), Box: X[6-24] Y[156-175], Area: 281 cells"
215,1,Floor_1_Zone_215,161,20.3,173.52,13,24,161,184,"Centroid: (20.30, 173.52), Box: X[13-24] Y[161-184], Area: 161 cells"
216,1,Floor_1_Zone_216,299,13.91,186.29,6,24,176,194,"Centroid: (13.91, 186.29), Box: X[6-24] Y[176-194], Area: 299 cells"
217,2,Floor_2_Zone_217,285,15.0,163.0,6,24,156,170,"Centroid: (15.00, 163.00), Box: X[6-24] Y[156-170], Area: 285 cells"
218,2,Floor_2_Zone_218,209,12.27,177.36,6,24,171,190,"Centroid: (12.27, 177.36), Box: X[6-24] Y[171-190], Area: 209 cells"
219,2,Floor_2_Zone_219,247,17.31,186.85,6,24,173,194,"Centroid: (17.31, 186.85), Box: X[6-24] Y[173-194], Area: 247 cells"
220,0,Floor_0_Zone_220,179,11.23,206.49,6,21,200,217,"Centroid: (11.23, 206.49), Box: X[6-21] Y[200-217], Area: 179 cells"
221,0,Floor_0_Zone_221,159,19.57,210.57,11,24,200,218,"Centroid: (19.57, 210.57), Box: X[11-24] Y[200-218], Area: 159 cells"
222,0,Floor_0_Zone_222,202,16.75,223.3,6,24,217,234,"Centroid: (16.75, 223.30), Box: X[6-24] Y[217-234], Area: 202 cells"
223,0,Floor_0_Zone_223,201,12.98,232.49,6,24,222,238,"Centroid: (12.98, 232.49), Box: X[6-24] Y[222-238], Area: 201 cells"
224,1,Floor_1_Zone_224,300,13.98,207.68,6,24,200,218,"Centroid: (13.98, 207.68), Box: X[6-24] Y[200-218], Area: 300 cells"
225,1,Floor_1_Zone_225,166,19.99,220.66,12,24,210,233,"Centroid: (19.99, 220.66), Box: X[12-24] Y[210-233], Area: 166 cells"
226,1,Floor_1_Zone_226,275,13.1,230.34,6,24,219,238,"Centroid: (13.10, 230.34), Box: X[6-24] Y[219-238], Area: 275 cells"
227,2,Floor_2_Zone_227,186,14.38,204.46,6,24,200,211,"Centroid: (14.38, 204.46), Box: X[6-24] Y[200-211], Area: 186 cells"
228,2,Floor_2_Zone_228,117,12.91,213.46,6,23,208,219,"Centroid: (12.91, 213.46), Box: X[6-23] Y[208-219], Area: 117 cells"
229,2,Floor_2_Zone_229,124,20.93,218.69,15,24,208,229,"Centroid: (20.93, 218.69), Box: X[15-24] Y[208-229], Area: 124 cells"
230,2,Floor_2_Zone_230,314,13.81,229.8,6,24,219,238,"Centroid: (13.81, 229.80), Box: X[6-24] Y[219-238], Area: 314 cells"
231,0,Floor_0_Zone_231,255,15.93,250.42,6,24,244,259,"Centroid: (15.93, 250.42), Box: X[6-24] Y[244-259], Area: 255 cells"
232,0,Floor_0_Zone_232,147,10.58,261.63,6,18,253,270,"Centroid: (10.58, 261.63), Box: X[6-18] Y[253-270], Area: 147 cells"
233,0,Floor_0_Zone_233,127,19.37,266.81,12,24,260,272,"Centroid: (19.37, 266.81), Box: X[12-24] Y[260-272], Area: 127 cells"
234,0,Floor_0_Zone_234,91,8.87,275.68,6,13,269,282,"Centroid: (8.87, 275.68), Box: X[6-13] Y[269-282], Area: 91 cells"
235,0,Floor_0_Zone_235,121,18.43,277.65,12,24,273,282,"Centroid: (18.43, 277.65), Box: X[12-24] Y[273-282], Area: 121 cells"
236,1,Floor_1_Zone_236,277,14.18,250.96,6,24,244,261,"Centroid: (14.18, 250.96), Box: X[6-24] Y[244-261], Area: 277 cells"
237,1,Floor_1_Zone_237,190,17.4,263.08,6,24,255,271,"Centroid: (17.40, 263.08), Box: X[6-24] Y[255-271], Area: 190 cells"
238,1,Floor_1_Zone_238,274,14.17,275.12,6,24,265,282,"Centroid: (14.17, 275.12), Box: X[6-24] Y[265-282], Area: 274 cells"
239,2,Floor_2_Zone_239,260,13.69,250.74,6,24,244,261,"Centroid: (13.69, 250.74), Box: X[6-24] Y[244-261], Area: 260 cells"
240,2,Floor_2_Zone_240,149,19.36,261.0,10,24,252,270,"Centroid: (19.36, 261.00), Box: X[10-24] Y[252-270], Area: 149 cells"
241,2,Floor_2_Zone_241,332,14.07,273.5,6,24,262,282,"Centroid: (14.07, 273.50), Box: X[6-24] Y[262-282], Area: 332 cells"
242,0,Floor_0_Zone_242,741,15.0,307.0,6,24,288,326,"Centroid: (15.00, 307.00), Box: X[6-24] Y[288-326], Area: 741 cells"
243,1,Floor_1_Zone_243,189,12.03,293.94,6,24,288,305,"Centroid: (12.03, 293.94), Box: X[6-24] Y[288-305], Area: 189 cells"
244,1,Floor_1_Zone_244,153,18.67,299.67,8,24,289,305,"Centroid: (18.67, 299.67), Box: X[8-24] Y[289-305], Area: 153 cells"
245,1,Floor_1_Zone_245,399,15.0,316.0,6,24,306,326,"Centroid: (15.00, 316.00), Box: X[6-24] Y[306-326], Area: 399 cells"
246,2,Floor_2_Zone_246,456,15.0,299.5,6,24,288,311,"Centroid: (15.00, 299.50), Box: X[6-24] Y[288-311], Area: 456 cells"
247,2,Floor_2_Zone_247,285,15.0,319.0,6,24,312,326,"Centroid: (15.00, 319.00), Box: X[6-24] Y[312-326], Area: 285 cells"
