ap_id,floor,region,coverage_cells,centroid_x,centroid_y,bbox_x_min,bbox_x_max,bbox_y_min,bbox_y_max,spatial_information
42,2,Floor_2_Zone_42,225,113.12,184.24,108,118,174,194,"Centroid: (113.12, 184.24), Box: X[108-118] Y[174-194], Area: 225 cells"
43,2,Floor_2_Zone_43,187,113.25,164.75,107,118,156,173,"Centroid: (113.25, 164.75), Box: X[107-118] Y[156-173], Area: 187 cells"
44,0,Floor_0_Zone_44,144,110.35,217.15,102,118,209,225,"Centroid: (110.35, 217.15), Box: X[102-118] Y[209-225], Area: 144 cells"
45,0,Floor_0_Zone_45,261,107.91,206.64,100,118,200,217,"Centroid: (107.91, 206.64), Box: X[100-118] Y[200-217], Area: 261 cells"
46,0,Floor_0_Zone_46,96,102.16,227.66,100,107,218,238,"Centroid: (102.16, 227.66), Box: X[100-107] Y[218-238], Area: 96 cells"
47,0,Floor_0_Zone_47,240,112.12,230.09,102,118,216,238,"Centroid: (112.12, 230.09), Box: X[102-118] Y[216-238], Area: 240 cells"
48,1,Floor_1_Zone_48,126,104.81,205.14,100,111,200,211,"Centroid: (104.81, 205.14), Box: X[100-111] Y[200-211], Area: 126 cells"
49,1,Floor_1_Zone_49,102,104.63,216.66,100,110,212,221,"Centroid: (104.63, 216.66), Box: X[100-110] Y[212-221], Area: 102 cells"
50,1,Floor_1_Zone_50,154,104.06,229.64,100,109,222,238,"Centroid: (104.06, 229.64), Box: X[100-109] Y[222-238], Area: 154 cells"
51,1,Floor_1_Zone_51,194,113.61,229.01,108,118,219,238,"Centroid: (113.61, 229.01), Box: X[108-118] Y[219-238], Area: 194 cells"
52,1,Floor_1_Zone_52,165,114.1,209.34,109,118,200,218,"Centroid: (114.10, 209.34), Box: X[109-118] Y[200-218], Area: 165 cells"
53,2,Floor_2_Zone_53,138,104.87,205.61,100,111,200,212,"Centroid: (104.87, 205.61), Box: X[100-111] Y[200-212], Area: 138 cells"
54,2,Floor_2_Zone_54,85,104.24,216.98,100,109,213,221,"Centroid: (104.24, 216.98), Box: X[100-109] Y[213-221], Area: 85 cells"
55,2,Floor_2_Zone_55,170,104.5,230.0,100,109,222,238,"Centroid: (104.50, 230.00), Box: X[100-109] Y[222-238], Area: 170 cells"
56,2,Floor_2_Zone_56,153,114.0,230.0,110,118,222,238,"Centroid: (114.00, 230.00), Box: X[110-118] Y[222-238], Area: 153 cells"
57,2,Floor_2_Zone_57,57,113.74,218.58,109,118,216,221,"Centroid: (113.74, 218.58), Box: X[109-118] Y[216-221], Area: 57 cells"
58,2,Floor_2_Zone_58,138,114.11,208.07,109,118,200,215,"Centroid: (114.11, 208.07), Box: X[109-118] Y[200-215], Area: 138 cells"
59,0,Floor_0_Zone_59,209,109.0,249.0,100,118,244,254,"Centroid: (109.00, 249.00), Box: X[100-118] Y[244-254], Area: 209 cells"
60,0,Floor_0_Zone_60,171,109.0,259.0,100,118,255,263,"Centroid: (109.00, 259.00), Box: X[100-118] Y[255-263], Area: 171 cells"
61,0,Floor_0_Zone_61,171,109.0,268.0,100,118,264,272,"Centroid: (109.00, 268.00), Box: X[100-118] Y[264-272], Area: 171 cells"
62,0,Floor_0_Zone_62,190,109.0,277.5,100,118,273,282,"Centroid: (109.00, 277.50), Box: X[100-118] Y[273-282], Area: 190 cells"
63,1,Floor_1_Zone_63,115,103.63,250.2,100,108,244,257,"Centroid: (103.63, 250.20), Box: X[100-108] Y[244-257], Area: 115 cells"
