feature,lgbm_importance_gain,lgbm_importance_pct,rf_importance,rf_importance_pct
sin_hour,888,11.386075137838185,0.005036558228934947,0.5036558228934948
cos_hour,846,10.847544556994485,0.004448014004901677,0.44480140049016775
users,766,9.821772022054109,0.954666553669845,95.4666553669845
centroid_x,543,6.962431080907809,0.0027064293666701363,0.2706429366670136
users_change_1,493,6.321323246570073,0.002272923315082319,0.2272923315082319
rolling_mean_6,455,5.834081292473394,0.0030793263909623214,0.30793263909623214
rolling_std_6,404,5.180151301448904,0.006560556353839918,0.6560556353839918
centroid_y,334,4.282600333376074,0.0023418036602701974,0.23418036602701975
rolling_std_3,329,4.2184895499423005,0.002543377710735337,0.2543377710735337
rolling_mean_3,322,4.128734453135017,0.0019112147796116698,0.19112147796116696
users_change_2,304,3.8979356327734327,0.0009757839318008379,0.0975783931800838
campus_total_users,291,3.7312475958456215,0.0022208252770631724,0.22208252770631723
users_lag_1,282,3.6158481856648286,0.0009929392430738917,0.09929392430738918
coverage_cells,278,3.56455955891781,0.001752010432598595,0.1752010432598595
floor_total_users,226,2.8978074112065646,0.0017087073606726032,0.17087073606726033
rolling_max_6,187,2.3977433004231314,0.0012709863767382896,0.12709863767382895
users_lag_3,184,2.3592768303628673,0.0007196999936541663,0.07196999936541663
neighbor_mean_users,173,2.2182331068085652,0.0017496578867017356,0.17496578867017357
users_lag_2,139,1.782279779458905,0.00042644289616163987,0.04264428961616399
neighbor_max_users,127,1.6284138992178485,0.001481792042535769,0.1481792042535769
floor,85,1.0898833183741505,0.00039042657181787954,0.039042657181787954
is_peak_hours,81,1.0385946916271318,0.0005723194598717947,0.05723194598717947
is_weekend,62,0.7949737145787922,0.00017165104645623015,0.017165104645623014
