AP_ID,Floor,Region,Spatial_Info
46,0,Zone_AP_46,"Centroid: (102.16, 227.66), Box: X[100-107] Y[218-238], Area: 96 cells, Contiguous"
47,0,Zone_AP_47,"Centroid: (112.12, 230.09), Box: X[102-118] Y[216-238], Area: 240 cells, Contiguous"
48,1,Zone_AP_48,"Centroid: (104.81, 205.14), Box: X[100-111] Y[200-211], Area: 126 cells, Contiguous"
49,1,Zone_AP_49,"Centroid: (104.63, 216.66), Box: X[100-110] Y[212-221], Area: 102 cells, Contiguous"
50,1,Zone_AP_50,"Centroid: (104.06, 229.64), Box: X[100-109] Y[222-238], Area: 154 cells, Contiguous"
51,1,Zone_AP_51,"Centroid: (113.61, 229.01), Box: X[108-118] Y[219-238], Area: 194 cells, Contiguous"
52,1,Zone_AP_52,"Centroid: (114.10, 209.34), Box: X[109-118] Y[200-218], Area: 165 cells, Contiguous"
53,2,Zone_AP_53,"Centroid: (104.87, 205.61), Box: X[100-111] Y[200-212], Area: 138 cells, Contiguous"
54,2,Zone_AP_54,"Centroid: (104.24, 216.98), Box: X[100-109] Y[213-221], Area: 85 cells, Contiguous"
55,2,Zone_AP_55,"Centroid: (104.50, 230.00), Box: X[100-109] Y[222-238], Area: 170 cells, Contiguous"
56,2,Zone_AP_56,"Centroid: (114.00, 230.00), Box: X[110-118] Y[222-238], Area: 153 cells, Contiguous"
57,2,Zone_AP_57,"Centroid: (113.74, 218.58), Box: X[109-118] Y[216-221], Area: 57 cells, Contiguous"
58,2,Zone_AP_58,"Centroid: (114.11, 208.07), Box: X[109-118] Y[200-215], Area: 138 cells, Contiguous"
59,0,Zone_AP_59,"Centroid: (109.00, 249.00), Box: X[100-118] Y[244-254], Area: 209 cells, Contiguous"
60,0,Zone_AP_60,"Centroid: (109.00, 259.00), Box: X[100-118] Y[255-263], Area: 171 cells, Contiguous"
61,0,Zone_AP_61,"Centroid: (109.00, 268.00), Box: X[100-118] Y[264-272], Area: 171 cells, Contiguous"
62,0,Zone_AP_62,"Centroid: (109.00, 277.50), Box: X[100-118] Y[273-282], Area: 190 cells, Contiguous"
63,1,Zone_AP_63,"Centroid: (103.63, 250.20), Box: X[100-108] Y[244-257], Area: 115 cells, Contiguous"
64,1,Zone_AP_64,"Centroid: (103.50, 262.50), Box: X[100-107] Y[258-267], Area: 80 cells, Contiguous"
65,1,Zone_AP_65,"Centroid: (104.10, 275.49), Box: X[100-110] Y[268-282], Area: 136 cells, Contiguous"
66,1,Zone_AP_66,"Centroid: (113.42, 273.52), Box: X[107-118] Y[266-282], Area: 171 cells, Contiguous"
67,1,Zone_AP_67,"Centroid: (113.00, 261.50), Box: X[108-118] Y[258-265], Area: 88 cells, Contiguous"
68,1,Zone_AP_68,"Centroid: (113.09, 250.73), Box: X[107-118] Y[244-257], Area: 151 cells, Contiguous"
69,2,Zone_AP_69,"Centroid: (104.84, 249.06), Box: X[100-112] Y[244-255], Area: 126 cells, Contiguous"
70,2,Zone_AP_70,"Centroid: (104.16, 261.03), Box: X[100-109] Y[256-266], Area: 102 cells, Contiguous"
71,2,Zone_AP_71,"Centroid: (104.38, 274.65), Box: X[100-109] Y[267-282], Area: 156 cells, Contiguous"
72,2,Zone_AP_72,"Centroid: (113.86, 274.34), Box: X[109-118] Y[267-282], Area: 148 cells, Contiguous"
73,2,Zone_AP_73,"Centroid: (113.74, 262.61), Box: X[109-118] Y[259-266], Area: 76 cells, Contiguous"
74,2,Zone_AP_74,"Centroid: (113.95, 251.66), Box: X[108-118] Y[244-258], Area: 133 cells, Contiguous"
75,0,Zone_AP_75,"Centroid: (109.00, 293.00), Box: X[100-118] Y[288-298], Area: 209 cells, Contiguous"
76,0,Zone_AP_76,"Centroid: (109.00, 303.00), Box: X[100-118] Y[299-307], Area: 171 cells, Contiguous"
77,0,Zone_AP_77,"Centroid: (109.00, 317.00), Box: X[100-118] Y[308-326], Area: 361 cells, Contiguous"
78,1,Zone_AP_78,"Centroid: (103.62, 294.36), Box: X[100-108] Y[288-301], Area: 115 cells, Contiguous"
79,1,Zone_AP_79,"Centroid: (103.50, 305.50), Box: X[100-107] Y[302-309], Area: 64 cells, Contiguous"
80,1,Zone_AP_80,"Centroid: (103.50, 318.00), Box: X[100-107] Y[310-326], Area: 136 cells, Contiguous"
81,1,Zone_AP_81,"Centroid: (113.00, 318.00), Box: X[108-118] Y[310-326], Area: 187 cells, Contiguous"
82,1,Zone_AP_82,"Centroid: (113.00, 305.50), Box: X[108-118] Y[302-309], Area: 88 cells, Contiguous"
83,1,Zone_AP_83,"Centroid: (113.10, 294.61), Box: X[108-118] Y[288-301], Area: 151 cells, Contiguous"
84,2,Zone_AP_84,"Centroid: (103.70, 294.24), Box: X[100-108] Y[288-301], Area: 117 cells, Contiguous"
85,2,Zone_AP_85,"Centroid: (103.50, 306.00), Box: X[100-107] Y[302-310], Area: 72 cells, Contiguous"
86,2,Zone_AP_86,"Centroid: (103.50, 318.50), Box: X[100-107] Y[311-326], Area: 128 cells, Contiguous"
87,2,Zone_AP_87,"Centroid: (113.00, 318.00), Box: X[108-118] Y[310-326], Area: 187 cells, Contiguous"
88,2,Zone_AP_88,"Centroid: (113.00, 305.50), Box: X[108-118] Y[302-309], Area: 88 cells, Contiguous"
89,2,Zone_AP_89,"Centroid: (113.16, 294.70), Box: X[107-118] Y[288-301], Area: 149 cells, Contiguous"
90,0,Zone_AP_90,"Centroid: (79.50, 82.17), Box: X[71-85] Y[74-89], Area: 180 cells, Contiguous"
91,0,Zone_AP_91,"Centroid: (72.30, 70.98), Box: X[67-82] Y[62-79], Area: 186 cells, Contiguous"
92,0,Zone_AP_92,"Centroid: (80.54, 62.32), Box: X[72-85] Y[51-73], Area: 186 cells, Contiguous"
93,0,Zone_AP_93,"Centroid: (73.36, 54.19), Box: X[67-85] Y[50-61], Area: 144 cells, Contiguous"
94,0,Zone_AP_94,"Centroid: (69.66, 84.88), Box: X[67-74] Y[79-89], Area: 64 cells, Contiguous"
95,1,Zone_AP_95,"Centroid: (79.09, 80.70), Box: X[68-85] Y[72-89], Area: 202 cells, Contiguous"
96,1,Zone_AP_96,"Centroid: (79.44, 64.85), Box: X[71-85] Y[60-71], Area: 117 cells, Contiguous"
97,1,Zone_AP_97,"Centroid: (72.51, 71.06), Box: X[67-83] Y[65-77], Area: 134 cells, Contiguous"
98,1,Zone_AP_98,"Centroid: (70.56, 56.46), Box: X[67-75] Y[50-65], Area: 119 cells, Contiguous"
99,1,Zone_AP_99,"Centroid: (80.58, 54.85), Box: X[75-85] Y[50-61], Area: 110 cells, Contiguous"
100,1,Zone_AP_100,"Centroid: (70.67, 85.33), Box: X[67-78] Y[78-89], Area: 78 cells, Contiguous"
101,2,Zone_AP_101,"Centroid: (70.40, 54.48), Box: X[67-77] Y[50-62], Area: 87 cells, Contiguous"
102,2,Zone_AP_102,"Centroid: (79.14, 57.38), Box: X[70-85] Y[50-64], Area: 175 cells, Contiguous"
103,2,Zone_AP_103,"Centroid: (71.52, 68.69), Box: X[67-78] Y[62-75], Area: 129 cells, Contiguous"
104,2,Zone_AP_104,"Centroid: (81.06, 71.05), Box: X[75-85] Y[64-77], Area: 119 cells, Contiguous"
105,2,Zone_AP_105,"Centroid: (71.58, 81.73), Box: X[67-79] Y[76-89], Area: 136 cells, Contiguous"
