AP_ID,Floor,Region,Spatial_Info
220,0,Zone_AP_220,"Centroid: (11.23, 206.49), Box: X[6-21] Y[200-217], Area: 179 cells, Contiguous"
221,0,Zone_AP_221,"Centroid: (19.57, 210.57), Box: X[11-24] Y[200-218], Area: 159 cells, Contiguous"
222,0,Zone_AP_222,"Centroid: (16.75, 223.30), Box: X[6-24] Y[217-234], Area: 202 cells, Contiguous"
223,0,Zone_AP_223,"Centroid: (12.98, 232.49), Box: X[6-24] Y[222-238], Area: 201 cells, Contiguous"
224,1,Zone_AP_224,"Centroid: (13.98, 207.68), Box: X[6-24] Y[200-218], Area: 300 cells, Contiguous"
225,1,Zone_AP_225,"Centroid: (19.99, 220.66), Box: X[12-24] Y[210-233], Area: 166 cells, Contiguous"
226,1,Zone_AP_226,"Centroid: (13.10, 230.34), Box: X[6-24] Y[219-238], Area: 275 cells, Contiguous"
227,2,Zone_AP_227,"Centroid: (14.38, 204.46), Box: X[6-24] Y[200-211], Area: 186 cells, Contiguous"
228,2,Zone_AP_228,"Centroid: (12.91, 213.46), Box: X[6-23] Y[208-219], Area: 117 cells, Contiguous"
229,2,Zone_AP_229,"Centroid: (20.93, 218.69), Box: X[15-24] Y[208-229], Area: 124 cells, Contiguous"
230,2,Zone_AP_230,"Centroid: (13.81, 229.80), Box: X[6-24] Y[219-238], Area: 314 cells, Contiguous"
231,0,Zone_AP_231,"Centroid: (15.93, 250.42), Box: X[6-24] Y[244-259], Area: 255 cells, Contiguous"
232,0,Zone_AP_232,"Centroid: (10.58, 261.63), Box: X[6-18] Y[253-270], Area: 147 cells, Contiguous"
233,0,Zone_AP_233,"Centroid: (19.37, 266.81), Box: X[12-24] Y[260-272], Area: 127 cells, Contiguous"
234,0,Zone_AP_234,"Centroid: (8.87, 275.68), Box: X[6-13] Y[269-282], Area: 91 cells, Contiguous"
235,0,Zone_AP_235,"Centroid: (18.43, 277.65), Box: X[12-24] Y[273-282], Area: 121 cells, Contiguous"
236,1,Zone_AP_236,"Centroid: (14.18, 250.96), Box: X[6-24] Y[244-261], Area: 277 cells, Contiguous"
237,1,Zone_AP_237,"Centroid: (17.40, 263.08), Box: X[6-24] Y[255-271], Area: 190 cells, Contiguous"
238,1,Zone_AP_238,"Centroid: (14.17, 275.12), Box: X[6-24] Y[265-282], Area: 274 cells, Contiguous"
239,2,Zone_AP_239,"Centroid: (13.69, 250.74), Box: X[6-24] Y[244-261], Area: 260 cells, Contiguous"
240,2,Zone_AP_240,"Centroid: (19.36, 261.00), Box: X[10-24] Y[252-270], Area: 149 cells, Contiguous"
241,2,Zone_AP_241,"Centroid: (14.07, 273.50), Box: X[6-24] Y[262-282], Area: 332 cells, Contiguous"
242,0,Zone_AP_242,"Centroid: (15.00, 307.00), Box: X[6-24] Y[288-326], Area: 741 cells, Contiguous"
243,1,Zone_AP_243,"Centroid: (12.03, 293.94), Box: X[6-24] Y[288-305], Area: 189 cells, Contiguous"
244,1,Zone_AP_244,"Centroid: (18.67, 299.67), Box: X[8-24] Y[289-305], Area: 153 cells, Contiguous"
245,1,Zone_AP_245,"Centroid: (15.00, 316.00), Box: X[6-24] Y[306-326], Area: 399 cells, Contiguous"
246,2,Zone_AP_246,"Centroid: (15.00, 299.50), Box: X[6-24] Y[288-311], Area: 456 cells, Contiguous"
247,2,Zone_AP_247,"Centroid: (15.00, 319.00), Box: X[6-24] Y[312-326], Area: 285 cells, Contiguous"
