timestamp,scenario,ap_id,previous_state,new_state,current_users,predicted_users,transition_reason
2023-06-16 14:58:40,PREDICTIVE_QOS,107,MODERATE,HIGH,12.0,10.752663296276005,Predicted load (10.8) >= High threshold (10.0)
2023-06-16 17:36:03,PREDICTIVE_QOS,107,HIGH,MODERATE,7.0,6.166721226981737,De-escalated HIGH -> MODERATE: Load (6.2) < exit (8.0)
2023-06-16 18:58:51,PREDICTIVE_QOS,107,MODERATE,NORMAL,3.0,2.8379439850467567,De-escalated MODERATE -> NORMAL: Load (2.8) < exit (4.0)
2023-06-08 07:23:22,PREDICTIVE_QOS,125,NORMAL,MODERATE,6.0,5.389110742832545,Predicted load (5.4) >= Moderate threshold (5.0)
2023-06-08 11:07:05,PREDICTIVE_QOS,125,MODERATE,HIGH,11.0,10.367377400174444,Predicted load (10.4) >= High threshold (10.0)
2023-06-08 11:57:12,PREDICTIVE_QOS,125,HIGH,CRITICAL,26.0,25.19940982562471,Predicted load (25.2) >= Critical threshold (20.0)
2023-06-08 14:49:32,PREDICTIVE_QOS,125,CRITICAL,NORMAL,3.0,3.396757425842374,De-escalated CRITICAL -> NORMAL: Load (3.4) < exit (17.0)
2023-06-08 15:22:35,PREDICTIVE_QOS,125,NORMAL,MODERATE,8.0,7.422368429330328,Predicted load (7.4) >= Moderate threshold (5.0)
2023-06-08 15:39:13,PREDICTIVE_QOS,125,MODERATE,HIGH,11.0,11.062787660296005,Predicted load (11.1) >= High threshold (10.0)
2023-06-08 16:46:20,PREDICTIVE_QOS,125,HIGH,MODERATE,9.0,7.73228230145314,De-escalated HIGH -> MODERATE: Load (7.7) < exit (8.0)
2023-06-08 19:53:04,PREDICTIVE_QOS,125,MODERATE,NORMAL,2.0,2.0387177187354686,De-escalated MODERATE -> NORMAL: Load (2.0) < exit (4.0)
2023-06-09 08:40:07,PREDICTIVE_QOS,125,NORMAL,MODERATE,7.0,8.183984349331899,Predicted load (8.2) >= Moderate threshold (5.0)
2023-06-09 10:04:59,PREDICTIVE_QOS,125,MODERATE,HIGH,14.0,14.43850705056832,Predicted load (14.4) >= High threshold (10.0)
2023-06-09 12:25:58,PREDICTIVE_QOS,125,HIGH,MODERATE,7.0,6.797404661243588,De-escalated HIGH -> MODERATE: Load (6.8) < exit (8.0)
2023-06-09 16:37:40,PREDICTIVE_QOS,125,MODERATE,NORMAL,3.0,2.733770958350553,De-escalated MODERATE -> NORMAL: Load (2.7) < exit (4.0)
2023-06-12 07:41:58,PREDICTIVE_QOS,125,NORMAL,MODERATE,7.0,5.616664447154435,Predicted load (5.6) >= Moderate threshold (5.0)
2023-06-12 10:08:17,PREDICTIVE_QOS,125,MODERATE,HIGH,11.0,11.228412047458562,Predicted load (11.2) >= High threshold (10.0)
2023-06-12 11:25:25,PREDICTIVE_QOS,125,HIGH,CRITICAL,24.0,22.953955959941357,Predicted load (23.0) >= Critical threshold (20.0)
2023-06-12 14:35:46,PREDICTIVE_QOS,125,CRITICAL,MODERATE,5.0,5.611790626545617,De-escalated CRITICAL -> MODERATE: Load (5.6) < exit (17.0)
2023-06-12 15:01:59,PREDICTIVE_QOS,125,MODERATE,NORMAL,3.0,3.2642005729245787,De-escalated MODERATE -> NORMAL: Load (3.3) < exit (4.0)
2023-06-12 16:18:54,PREDICTIVE_QOS,125,NORMAL,MODERATE,7.0,6.174209780685925,Predicted load (6.2) >= Moderate threshold (5.0)
2023-06-12 18:40:44,PREDICTIVE_QOS,125,MODERATE,NORMAL,3.0,2.7361335472139734,De-escalated MODERATE -> NORMAL: Load (2.7) < exit (4.0)
2023-06-13 07:42:02,PREDICTIVE_QOS,125,NORMAL,MODERATE,7.0,6.1837051589575704,Predicted load (6.2) >= Moderate threshold (5.0)
2023-06-13 10:03:29,PREDICTIVE_QOS,125,MODERATE,HIGH,11.0,10.332300694478754,Predicted load (10.3) >= High threshold (10.0)
2023-06-13 10:29:25,PREDICTIVE_QOS,125,HIGH,CRITICAL,20.0,20.306906396656604,Predicted load (20.3) >= Critical threshold (20.0)
2023-06-13 13:45:46,PREDICTIVE_QOS,125,CRITICAL,HIGH,16.0,16.474087909099254,De-escalated CRITICAL -> HIGH: Load (16.5) < exit (17.0)
2023-06-13 16:12:35,PREDICTIVE_QOS,125,HIGH,NORMAL,3.0,3.546986673819248,De-escalated HIGH -> NORMAL: Load (3.5) < exit (8.0)
2023-06-14 07:55:53,PREDICTIVE_QOS,125,NORMAL,MODERATE,5.0,5.091277866158701,Predicted load (5.1) >= Moderate threshold (5.0)
2023-06-14 10:06:43,PREDICTIVE_QOS,125,MODERATE,HIGH,14.0,14.965375722601614,Predicted load (15.0) >= High threshold (10.0)
2023-06-14 12:34:32,PREDICTIVE_QOS,125,HIGH,MODERATE,6.0,6.269951795405775,De-escalated HIGH -> MODERATE: Load (6.3) < exit (8.0)
2023-06-14 12:59:44,PREDICTIVE_QOS,125,MODERATE,CRITICAL,108.0,73.36275811358661,Predicted load (73.4) >= Critical threshold (20.0)
2023-06-14 15:23:50,PREDICTIVE_QOS,125,CRITICAL,NORMAL,2.0,1.271260219884528,De-escalated CRITICAL -> NORMAL: Load (1.3) < exit (17.0)
2023-06-14 17:12:21,PREDICTIVE_QOS,125,NORMAL,MODERATE,7.0,5.940430265688959,Predicted load (5.9) >= Moderate threshold (5.0)
2023-06-14 19:23:44,PREDICTIVE_QOS,125,MODERATE,NORMAL,2.0,2.196882705558315,De-escalated MODERATE -> NORMAL: Load (2.2) < exit (4.0)
2023-06-15 08:13:51,PREDICTIVE_QOS,125,NORMAL,MODERATE,5.0,5.008022682444141,Predicted load (5.0) >= Moderate threshold (5.0)
2023-06-15 10:23:44,PREDICTIVE_QOS,125,MODERATE,HIGH,11.0,10.207707617685132,Predicted load (10.2) >= High threshold (10.0)
2023-06-15 12:13:28,PREDICTIVE_QOS,125,HIGH,CRITICAL,28.0,34.571028570250405,Predicted load (34.6) >= Critical threshold (20.0)
2023-06-15 13:37:49,PREDICTIVE_QOS,125,CRITICAL,MODERATE,6.0,6.1199651698103015,De-escalated CRITICAL -> MODERATE: Load (6.1) < exit (17.0)
2023-06-15 14:34:03,PREDICTIVE_QOS,125,MODERATE,HIGH,13.0,13.207487186718287,Predicted load (13.2) >= High threshold (10.0)
2023-06-15 15:55:51,PREDICTIVE_QOS,125,HIGH,NORMAL,4.0,4.460025776342735,De-escalated HIGH -> NORMAL: Load (4.5) < exit (8.0)
2023-06-15 16:25:55,PREDICTIVE_QOS,125,NORMAL,MODERATE,7.0,6.530033967823397,Predicted load (6.5) >= Moderate threshold (5.0)
2023-06-15 20:04:05,PREDICTIVE_QOS,125,MODERATE,NORMAL,2.0,2.0208185927165325,De-escalated MODERATE -> NORMAL: Load (2.0) < exit (4.0)
2023-06-16 08:47:41,PREDICTIVE_QOS,125,NORMAL,MODERATE,5.0,5.042798926401475,Predicted load (5.0) >= Moderate threshold (5.0)
2023-06-16 09:36:09,PREDICTIVE_QOS,125,MODERATE,HIGH,12.0,11.383195135580186,Predicted load (11.4) >= High threshold (10.0)
2023-06-16 12:26:41,PREDICTIVE_QOS,125,HIGH,MODERATE,7.0,6.921984861657127,De-escalated HIGH -> MODERATE: Load (6.9) < exit (8.0)
2023-06-16 16:43:39,PREDICTIVE_QOS,125,MODERATE,NORMAL,3.0,3.0344138841501054,De-escalated MODERATE -> NORMAL: Load (3.0) < exit (4.0)
2023-06-12 08:53:21,PREDICTIVE_QOS,162,NORMAL,HIGH,12.0,14.896710208196538,Predicted load (14.9) >= High threshold (10.0)
2023-06-12 10:08:17,PREDICTIVE_QOS,162,HIGH,CRITICAL,59.0,52.68793577712583,Predicted load (52.7) >= Critical threshold (20.0)
2023-06-12 14:35:46,PREDICTIVE_QOS,162,CRITICAL,HIGH,16.0,14.774723761823232,De-escalated CRITICAL -> HIGH: Load (14.8) < exit (17.0)
2023-06-12 15:52:53,PREDICTIVE_QOS,162,HIGH,CRITICAL,41.0,39.95216986643123,Predicted load (40.0) >= Critical threshold (20.0)
2023-06-12 19:56:27,PREDICTIVE_QOS,162,CRITICAL,NORMAL,1.0,0.013141102049570462,De-escalated CRITICAL -> NORMAL: Load (0.0) < exit (17.0)
2023-06-13 08:57:43,PREDICTIVE_QOS,162,NORMAL,HIGH,9.0,10.332578174845121,Predicted load (10.3) >= High threshold (10.0)
2023-06-13 09:15:17,PREDICTIVE_QOS,162,HIGH,CRITICAL,31.0,35.63758900341979,Predicted load (35.6) >= Critical threshold (20.0)
2023-06-13 18:29:10,PREDICTIVE_QOS,162,CRITICAL,NORMAL,1.0,0.871227258603383,De-escalated CRITICAL -> NORMAL: Load (0.9) < exit (17.0)
2023-06-14 16:44:13,PREDICTIVE_QOS,162,NORMAL,CRITICAL,44.0,43.524740810144145,Predicted load (43.5) >= Critical threshold (20.0)
2023-06-14 21:05:50,PREDICTIVE_QOS,162,CRITICAL,NORMAL,5.0,3.710521844879915,De-escalated CRITICAL -> NORMAL: Load (3.7) < exit (17.0)
2023-06-15 08:59:20,PREDICTIVE_QOS,162,NORMAL,MODERATE,8.0,9.010703884047688,Predicted load (9.0) >= Moderate threshold (5.0)
2023-06-15 09:28:17,PREDICTIVE_QOS,162,MODERATE,CRITICAL,41.0,41.73800365340734,Predicted load (41.7) >= Critical threshold (20.0)
2023-06-15 14:05:33,PREDICTIVE_QOS,162,CRITICAL,HIGH,13.0,11.034449185351239,De-escalated CRITICAL -> HIGH: Load (11.0) < exit (17.0)
2023-06-15 15:26:29,PREDICTIVE_QOS,162,HIGH,CRITICAL,50.0,51.45571208012433,Predicted load (51.5) >= Critical threshold (20.0)
2023-06-15 20:29:15,PREDICTIVE_QOS,162,CRITICAL,NORMAL,2.0,1.5354408011674765,De-escalated CRITICAL -> NORMAL: Load (1.5) < exit (17.0)
2023-06-08 08:14:54,ORACLE_QOS,107,NORMAL,MODERATE,3.0,6.0,Oracle ground truth future (6.0)
2023-06-08 10:50:37,ORACLE_QOS,107,MODERATE,HIGH,6.0,12.0,Oracle ground truth future (12.0)
2023-06-08 11:57:12,ORACLE_QOS,107,HIGH,MODERATE,7.0,7.0,Oracle ground truth future (7.0)
2023-06-08 12:18:21,ORACLE_QOS,107,MODERATE,HIGH,7.0,12.0,Oracle ground truth future (12.0)
2023-06-08 13:07:45,ORACLE_QOS,107,HIGH,CRITICAL,7.0,20.0,Oracle ground truth future (20.0)
2023-06-08 15:39:13,ORACLE_QOS,107,CRITICAL,MODERATE,9.0,9.0,Oracle ground truth future (9.0)
2023-06-08 18:40:42,ORACLE_QOS,107,MODERATE,NORMAL,3.0,3.0,Oracle ground truth future (3.0)
2023-06-09 07:58:13,ORACLE_QOS,107,NORMAL,MODERATE,3.0,5.0,Oracle ground truth future (5.0)
2023-06-09 12:53:20,ORACLE_QOS,107,MODERATE,HIGH,4.0,14.0,Oracle ground truth future (14.0)
2023-06-09 16:37:40,ORACLE_QOS,107,HIGH,NORMAL,2.0,3.0,Oracle ground truth future (3.0)
2023-06-09 17:03:02,ORACLE_QOS,107,NORMAL,MODERATE,3.0,6.0,Oracle ground truth future (6.0)
2023-06-09 20:17:37,ORACLE_QOS,107,MODERATE,NORMAL,4.0,3.0,Oracle ground truth future (3.0)
2023-06-11 14:27:10,ORACLE_QOS,107,NORMAL,MODERATE,3.0,5.0,Oracle ground truth future (5.0)
2023-06-11 15:54:55,ORACLE_QOS,107,MODERATE,NORMAL,1.0,1.0,Oracle ground truth future (1.0)
2023-06-12 09:18:05,ORACLE_QOS,107,NORMAL,MODERATE,2.0,7.0,Oracle ground truth future (7.0)
2023-06-12 10:08:17,ORACLE_QOS,107,MODERATE,HIGH,9.0,11.0,Oracle ground truth future (11.0)
2023-06-12 12:43:11,ORACLE_QOS,107,HIGH,CRITICAL,8.0,20.0,Oracle ground truth future (20.0)
2023-06-12 16:18:54,ORACLE_QOS,107,CRITICAL,NORMAL,1.0,4.0,Oracle ground truth future (4.0)
2023-06-12 16:43:09,ORACLE_QOS,107,NORMAL,MODERATE,4.0,7.0,Oracle ground truth future (7.0)
2023-06-12 19:08:18,ORACLE_QOS,107,MODERATE,NORMAL,2.0,2.0,Oracle ground truth future (2.0)
2023-06-13 07:24:57,ORACLE_QOS,107,NORMAL,MODERATE,2.0,6.0,Oracle ground truth future (6.0)
2023-06-13 10:03:29,ORACLE_QOS,107,MODERATE,HIGH,6.0,10.0,Oracle ground truth future (10.0)
2023-06-13 12:53:03,ORACLE_QOS,107,HIGH,CRITICAL,10.0,21.0,Oracle ground truth future (21.0)
2023-06-13 15:43:19,ORACLE_QOS,107,CRITICAL,MODERATE,9.0,5.0,Oracle ground truth future (5.0)
2023-06-13 18:56:15,ORACLE_QOS,107,MODERATE,NORMAL,3.0,1.0,Oracle ground truth future (1.0)
2023-06-14 07:35:59,ORACLE_QOS,107,NORMAL,MODERATE,2.0,5.0,Oracle ground truth future (5.0)
2023-06-14 09:08:00,ORACLE_QOS,107,MODERATE,HIGH,4.0,18.0,Oracle ground truth future (18.0)
2023-06-14 12:59:44,ORACLE_QOS,107,HIGH,CRITICAL,14.0,28.0,Oracle ground truth future (28.0)
2023-06-14 16:44:13,ORACLE_QOS,107,CRITICAL,HIGH,6.0,11.0,Oracle ground truth future (11.0)
2023-06-14 18:05:29,ORACLE_QOS,107,HIGH,NORMAL,2.0,3.0,Oracle ground truth future (3.0)
2023-06-14 18:56:52,ORACLE_QOS,107,NORMAL,MODERATE,2.0,6.0,Oracle ground truth future (6.0)
2023-06-14 21:56:46,ORACLE_QOS,107,MODERATE,NORMAL,2.0,2.0,Oracle ground truth future (2.0)
2023-06-15 07:30:33,ORACLE_QOS,107,NORMAL,MODERATE,2.0,7.0,Oracle ground truth future (7.0)
2023-06-15 09:28:17,ORACLE_QOS,107,MODERATE,HIGH,6.0,11.0,Oracle ground truth future (11.0)
2023-06-15 13:10:05,ORACLE_QOS,107,HIGH,CRITICAL,15.0,24.0,Oracle ground truth future (24.0)
2023-06-15 15:55:51,ORACLE_QOS,107,CRITICAL,MODERATE,8.0,6.0,Oracle ground truth future (6.0)
2023-06-15 16:25:55,ORACLE_QOS,107,MODERATE,NORMAL,6.0,3.0,Oracle ground truth future (3.0)
2023-06-15 16:54:12,ORACLE_QOS,107,NORMAL,MODERATE,3.0,5.0,Oracle ground truth future (5.0)
2023-06-15 20:04:05,ORACLE_QOS,107,MODERATE,NORMAL,1.0,1.0,Oracle ground truth future (1.0)
2023-06-16 08:47:41,ORACLE_QOS,107,NORMAL,MODERATE,3.0,5.0,Oracle ground truth future (5.0)
2023-06-16 11:28:26,ORACLE_QOS,107,MODERATE,HIGH,9.0,10.0,Oracle ground truth future (10.0)
2023-06-16 12:54:50,ORACLE_QOS,107,HIGH,MODERATE,4.0,5.0,Oracle ground truth future (5.0)
